|  x0   |  y0   |  x1   |  y1   |  x2   |  y2   |  x3   |  y3   |  s0   |  s1   | out0  | out1  |
|   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |
|   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |
|   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   1   |
|   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |
|   1   |   1   |   0   |   1   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   1   |
|   1   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   1   |   0   |
|   1   |   1   |   1   |   1   |   0   |   0   |   0   |   0   |   1   |   0   |   1   |   1   |
|   1   |   1   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |
|   1   |   1   |   1   |   1   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   1   |
|   1   |   1   |   1   |   1   |   1   |   0   |   0   |   0   |   0   |   1   |   1   |   0   |
|   1   |   1   |   1   |   1   |   1   |   1   |   0   |   0   |   0   |   1   |   1   |   1   |
|   1   |   1   |   1   |   1   |   1   |   1   |   0   |   0   |   1   |   1   |   0   |   0   |
|   1   |   1   |   1   |   1   |   1   |   1   |   0   |   1   |   1   |   1   |   0   |   1   |
|   1   |   1   |   1   |   1   |   1   |   1   |   1   |   0   |   1   |   1   |   1   |   0   |
|   1   |   1   |   1   |   1   |   1   |   1   |   1   |   1   |   1   |   1   |   1   |   1   |
